,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,CLEAN_TP9,CLEAN_AF7,CLEAN_AF8,CLEAN_TP10
47:47.1,14.39232892,-11.7648158,-5.239480241,2.108610322,-7.153612265,0.32273795,0.12064827,-0.248724316
47:47.1,16.40698093,-9.347233387,-3.62775863,4.123262337,-6.775928044,0.302379319,0.116303917,-0.235393113
47:47.1,28.09196262,-13.77946782,-5.239480241,2.511540725,-6.348500298,0.279890509,0.111051046,-0.220339228
47:47.1,28.89782342,-18.61463265,-6.851201853,33.53718175,-5.848307147,0.253732085,0.104806972,-0.202732113
47:47.1,45.82090035,-14.18239822,-2.821897824,66.57747479,-5.43757775,0.232713348,0.09939838,-0.188301887
47:47.1,52.26778679,-11.7648158,-4.433619436,59.72765794,-5.137440999,0.218108663,0.094985661,-0.177802479
47:47.1,30.10661463,-12.16774621,-4.030689033,50.86318908,-4.853429171,0.204588842,0.090626819,-0.167885196
47:47.1,11.16888569,-13.77946782,-8.059993062,43.20751142,-4.632353533,0.194734427,0.086825381,-0.160205788
47:47.1,43.40331793,-10.5560246,-11.28343629,28.29908651,-4.393419974,0.184417546,0.08251334,-0.151926101
47:47.1,53.0736476,-9.75016379,-8.059993062,36.35769457,-4.129461738,0.173247606,0.077610868,-0.142792914
47:47.1,28.09196262,-8.138442178,-5.642410644,50.05732827,-3.922298092,0.165586052,0.073088959,-0.135691278
47:47.1,20.03335456,-8.138442178,-4.433619436,28.70201692,-3.755734931,0.160618912,0.068725364,-0.130053129
47:47.1,30.10661463,-14.58532863,-8.462923465,23.86685208,-3.487745085,0.150240207,0.063161095,-0.12083825
47:47.1,48.23848276,-15.79411983,-9.268784271,73.02436124,-3.117113351,0.134357786,0.056398434,-0.108002144
47:47.1,40.1798747,-14.18239822,-7.254132256,80.27710849,-2.701908352,0.116371725,0.048940595,-0.093610697
47:47.1,20.43628496,-11.7648158,-7.254132256,49.65439787,-2.206797118,0.094266365,0.040448936,-0.076410078
47:47.1,28.49489302,-12.97360701,-10.07464508,49.25146747,-1.736331007,0.073939667,0.031966048,-0.060106419
47:47.1,35.74764027,-13.37653742,-10.88050588,37.56648578,-1.297366109,0.055799404,0.023547484,-0.044944017
47:47.1,44.61210914,-8.944302984,-8.865853868,46.43095465,-0.808676402,0.035250888,0.014390916,-0.02804282
47:47.1,40.98573551,-6.526720566,-10.47757548,61.74230996,-0.293537378,0.013616793,0.004722555,-0.010228477
47:47.1,38.56815309,-8.138442178,-10.88050588,32.73132095,0.101118246,-0.002991804,-0.002663529,0.003421421
